,Model Name,Price,CC,Mileage,Weight,Links
0,Royal Enfield Himalayan,"₹ 2,10,784",411.0 CC,45 Km/l,191 Kg,https://www.carandbike.com/royal-enfield-bikes/himalayan
1,Royal Enfield Classic Chrome,"₹ 1,88,868",499.0 CC,27 Km/l,194 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-chrome
2,Royal Enfield Meteor 350,"₹ 2,05,844",349.0 CC,41.88 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/meteor-350
3,Royal Enfield Bullet 350,"₹ 1,27,094",346.0 CC,45 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/bullet-350
4,Hero Splendor +,"₹ 69,380",97.2 CC,70 Km/l,110 Kg,https://www.carandbike.com/hero-bikes/splendor-plus
5,Honda CB Shine,"₹ 72,787",124.7 CC,65 Km/l,114 Kg,https://www.carandbike.com/honda-bikes/cb-shine
6,Honda Activa 6G,"₹ 69,645",109.5 CC,45 Km/l,107 Kg,https://www.carandbike.com/honda-bikes/activa-6g
7,Royal Enfield Classic 350,"₹ 1,84,374",349.0 CC,37 Km/l,195 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-350
8,Yamaha MT-15,"₹ 1,44,900",155.0 CC,48 Km/l,138 Kg,https://www.carandbike.com/yamaha-bikes/mt-15
9,Honda Dio,"₹ 64,510",109.5 CC,55 Km/l,103 Kg,https://www.carandbike.com/honda-bikes/dio
10,Honda SP 125,"₹ 78,381",124.0 CC,65 Km/l,117 Kg,https://www.carandbike.com/honda-bikes/sp-125
11,Hero HF Deluxe,"₹ 48,950",97.2 CC,83 Km/l,109 Kg,https://www.carandbike.com/hero-bikes/hf-deluxe
12,Royal Enfield Himalayan,"₹ 2,10,784",411.0 CC,45 Km/l,191 Kg,https://www.carandbike.com/royal-enfield-bikes/himalayan
13,Royal Enfield Classic Chrome,"₹ 1,88,868",499.0 CC,27 Km/l,194 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-chrome
14,Royal Enfield Meteor 350,"₹ 2,05,844",349.0 CC,41.88 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/meteor-350
15,Royal Enfield Bullet 350,"₹ 1,27,094",346.0 CC,45 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/bullet-350
16,Hero Splendor +,"₹ 69,380",97.2 CC,70 Km/l,110 Kg,https://www.carandbike.com/hero-bikes/splendor-plus
17,Honda CB Shine,"₹ 72,787",124.7 CC,65 Km/l,114 Kg,https://www.carandbike.com/honda-bikes/cb-shine
18,Honda Activa 6G,"₹ 69,645",109.5 CC,45 Km/l,107 Kg,https://www.carandbike.com/honda-bikes/activa-6g
19,Royal Enfield Classic 350,"₹ 1,84,374",349.0 CC,37 Km/l,195 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-350
