title,release_year,score,number_of_votes,duration,main_genre,main_production
David Attenborough: A Life on Our Planet,2020,9,31180,83,documentary,GB
Inception,2010,8.8,2268288,148,scifi,GB
Forrest Gump,1994,8.8,1994599,142,drama,US
Anbe Sivam,2003,8.7,20595,160,comedy,IN
Bo Burnham: Inside,2021,8.7,44074,87,comedy,US
Saving Private Ryan,1998,8.6,1346020,169,drama,US
Django Unchained,2012,8.4,1472668,165,western,US
Dangal,2016,8.4,180247,161,action,IN
Bo Burnham: Make Happy,2016,8.4,14356,60,comedy,US
Louis C.K.: Hilarious,2010,8.4,11973,84,comedy,US
Dave Chappelle: Sticks & Stones,2019,8.4,25687,65,comedy,US
3 Idiots,2009,8.4,385782,170,comedy,IN
Black Friday,2004,8.4,20611,143,crime,IN
Super Deluxe,2019,8.4,13680,176,thriller,IN
Winter on Fire: Ukraine's Fight for Freedom,2015,8.3,17710,98,documentary,UA
Once Upon a Time in America,1984,8.3,342335,229,drama,US
Taxi Driver,1976,8.3,795222,113,crime,US
Like Stars on Earth,2007,8.3,188234,165,drama,IN
Bo Burnham: What.,2013,8.3,11488,60,comedy,US
Full Metal Jacket,1987,8.3,723306,116,drama,GB
Warrior,2011,8.2,463276,140,drama,US
Drishyam,2015,8.2,79075,163,thriller,IN
Queen,2014,8.2,64805,146,drama,IN
Paan Singh Tomar,2012,8.2,35888,135,drama,IN
Cowspiracy: The Sustainability Secret,2014,8.2,24845,90,documentary,US
Virunga,2014,8.2,11403,90,war,CD
PK,2014,8.2,178012,153,comedy,IN
Bāhubali 2: The Conclusion,2017,8.2,91560,168,fantasy,IN
Monty Python and the Holy Grail,1975,8.2,530877,91,comedy,GB
Article 15,2019,8.2,32336,130,crime,IN
Miracle in Cell No. 7,2019,8.2,46939,132,drama,TR
13th,2016,8.2,34914,100,documentary,US
Andhadhun,2018,8.2,88359,139,thriller,IN
Bill Burr: Paper Tiger,2019,8.1,10649,67,comedy,GB
Udaan,2010,8.1,44556,138,drama,IN
How to Train Your Dragon,2010,8.1,719717,98,fantasy,US
Klaus,2019,8.1,141480,97,comedy,ES
Swades,2004,8.1,89085,189,drama,IN
Minnal Murali,2021,8.1,24681,158,action,IN
Rang De Basanti,2006,8.1,118092,157,comedy,IN
Seaspiracy,2021,8.1,29604,80,documentary,US
Rush,2013,8.1,465254,123,drama,US
Hannah Gadsby: Nanette,2018,8.1,12035,69,comedy,AU
Barfi!,2012,8.1,80643,151,drama,IN
Haider,2014,8.1,54001,150,drama,IN
Zindagi Na Milegi Dobara,2011,8.1,75801,166,comedy,IN
A Silent Voice: The Movie,2016,8.1,75132,130,romance,JP
OMG: Oh My God!,2012,8.1,57449,125,fantasy,IN
Talvar,2015,8.1,34659,132,thriller,IN
Into the Wild,2007,8.1,611379,140,drama,US
Lagaan: Once Upon a Time in India,2001,8.1,111053,224,drama,IN
My Octopus Teacher,2020,8.1,51232,84,documentary,ZA
Dil Chahta Hai,2001,8.1,71167,183,drama,IN
Mersal,2017,8.1,32573,169,thriller,IN
The Legend of Bhagat Singh,2002,8.1,16225,155,drama,IN
Stand by Me,1986,8.1,392790,89,drama,US
The Exorcist,1973,8.1,391942,133,horror,US
Bombay,1995,8.1,12512,141,romance,IN
Dasvi,2022,8,13140,125,drama,IN
G.O.R.A.,2004,8,61797,127,scifi,TR
Blood Diamond,2006,8,536858,143,thriller,US
Vizontele,2001,8,36291,110,comedy,TR
Ip Man,2008,8,221095,108,drama,HK
Her,2013,8,586679,126,drama,US
The Bourne Ultimatum,2007,8,627009,115,thriller,DE
Casino Royale,2006,8,644336,139,thriller,GB
Special 26,2013,8,55489,144,thriller,IN
Neon Genesis Evangelion: The End of Evangelion,1997,8,51938,87,scifi,JP
Bāhubali: The Beginning,2015,8,117333,159,drama,IN
Ankhon Dekhi,2014,8,11330,104,drama,IN
Big Fish,2003,8,435503,125,drama,US
Silenced,2011,8,15889,125,drama,KR
Life of Brian,1979,8,392419,94,comedy,GB
The Invisible Guest,2017,8,170351,107,thriller,ES
Dave Chappelle: The Closer,2021,8,24903,72,comedy,US
Blade Runner 2049,2017,8,539864,164,scifi,CA
The Imitation Game,2014,8,748654,113,thriller,US
Jab We Met,2007,7.9,51945,138,comedy,IN
Free to Play,2014,7.9,13308,75,documentary,UA
Monty Python Live at the Hollywood Bowl,1982,7.9,15186,77,comedy,GB
Dev.D,2009,7.9,30389,144,drama,IN
Marriage Story,2019,7.9,290643,136,drama,GB
Icarus,2017,7.9,48672,121,documentary,US
I Am Not Your Negro,2017,7.9,21632,93,documentary,BE
Ricky Gervais: Humanity,2018,7.9,18523,79,comedy,GB
Secret Superstar,2017,7.9,24046,150,drama,IN
Kal Ho Naa Ho,2003,7.9,68028,186,drama,IN
