title,release_year,score,number_of_seasons,main_genre,main_production
Monty Python's Flying Circus,1969,8.8,4,comedy,GB
Knight Rider,1982,6.9,4,action,US
Seinfeld,1989,8.9,9,comedy,US
Star Trek: Deep Space Nine,1993,8.1,7,scifi,US
Neon Genesis Evangelion,1995,8.5,1,scifi,JP
Stargate SG-1,1997,8.4,10,scifi,US
Cowboy Bebop,1998,8.9,1,western,JP
One Piece,1999,8.8,21,action,JP
Gilmore Girls,2000,8.2,8,comedy,US
Trailer Park Boys,2001,8.6,12,comedy,CA
Naruto,2002,8.4,6,scifi,JP
Chappelle's Show,2003,8.8,3,comedy,US
The 4400,2004,7.3,4,scifi,US
Avatar: The Last Airbender,2005,9.3,3,scifi,US
DEATH NOTE,2006,9,1,scifi,JP
iCarly,2007,6.7,6,comedy,US
Breaking Bad,2008,9.5,5,drama,US
Community,2009,8.5,6,comedy,US
Downton Abbey,2010,8.7,6,drama,GB
Hunter x Hunter,2011,9,3,drama,JP
Call the Midwife,2012,8.5,11,drama,GB
Attack on Titan,2013,9,4,scifi,JP
BoJack Horseman,2014,8.8,6,drama,US
Better Call Saul,2015,8.8,6,comedy,US
Stranger Things,2016,8.7,5,scifi,US
Anne with an E,2017,8.7,3,drama,CA
Cobra Kai,2018,8.6,5,action,US
Kota Factory,2019,9.3,2,drama,IN
The Last Dance,2020,9.1,1,documentary,US
Arcane,2021,9.1,1,action,US
Heartstopper,2022,8.9,1,drama,GB
